AE_1,AE_2,status_code
1.3224407,1.0901179,1
2.2117796,2.6618235,1
1.0750643,0.67352796,4
2.2037768,2.6856167,1
1.1748031,0.82771635,1
1.1890004,0.82726586,1
1.8827227,1.9573176,3
1.9463794,2.280671,1
1.3338681,1.1235315,1
1.1543725,0.7481203,1
1.6063662,1.5437222,2
1.1835097,0.87378514,4
1.4241097,1.2048737,1
1.3438671,1.0795892,1
2.1365557,2.6413176,4
2.1193752,2.5778208,1
1.0733851,0.52461517,1
1.6629097,1.7768799,4
2.010773,2.3806567,4
1.251896,0.9066435,1
1.2434487,0.8412732,4
1.511295,1.4320905,1
1.6729665,1.6677718,1
1.4277937,1.2142987,2
1.103977,0.5946721,1
1.6240413,1.5163207,3
0.85263574,0.1519132,4
1.9011816,1.9401549,2
2.0143344,2.2392755,1
1.5484958,1.5116167,1
1.5158758,1.3786687,1
1.3699366,1.1147132,2
1.5922513,1.4387971,3
1.5164223,1.3001106,1
0.89085984,0.15863338,1
1.3364189,1.0836518,2
1.9860747,2.3234365,3
1.815635,2.0510955,1
1.5359945,1.4508631,1
1.4458767,1.3532052,1
1.8686757,2.0086274,2
1.2173176,0.8195715,4
2.2529685,2.7221928,1
0.85485005,0.19734058,4
1.4563025,1.3449416,3
1.5530742,1.3780243,1
1.314565,0.9250306,1
1.643713,1.6704402,2
1.1055764,0.59848595,3
2.2789476,2.8205855,1
1.2336984,0.89837503,1
1.918895,2.2634833,1
1.0931259,0.675295,1
2.0694113,2.4577293,4
1.3395575,1.1511444,1
1.4313514,1.2639915,1
1.7111757,1.7322559,4
1.7917242,1.8880388,1
1.0584881,0.60191,1
1.9088836,2.0890832,1
1.4699368,1.2883749,1
1.2294168,0.9008781,3
1.2648458,0.8502039,1
1.6613889,1.6639893,1
1.3468968,1.162668,1
1.4714037,1.4147062,1
0.97667,0.38588908,1
1.1881449,0.8792894,1
2.0695415,2.4064436,1
2.0211163,2.3159964,3
2.0618882,2.592719,3
1.8465613,2.0149524,1
1.340074,1.1317875,4
1.2465442,0.97862625,1
2.118877,2.461945,1
1.4562056,1.3410403,1
1.4765208,1.3358605,1
2.0977886,2.4375467,1
1.9395854,2.308093,1
1.9732351,2.068766,1
1.1274246,0.8718641,1
1.9777124,2.2595482,1
1.8745308,2.112061,1
1.1490201,0.6539104,1
1.8801394,2.1950161,1
2.1028028,2.3593657,3
1.3355385,1.0810423,1
1.6380067,1.5311267,4
1.8129976,1.999369,1
0.91773915,0.14201,1
1.0568261,0.7081171,1
1.1301028,0.8683325,3
1.9742923,2.178359,1
1.2220986,0.920869,3
1.5407917,1.3943424,2
1.0662775,0.3979607,1
1.7142812,1.8178144,3
1.3517423,1.0744697,1
1.6817216,1.6602576,1
2.0694003,2.408525,4
2.121734,2.362832,1
1.3446288,1.017412,1
1.3581896,1.1815082,1
0.89481676,0.21034727,4
1.8762349,2.0806468,1
1.2286409,0.90145147,1
1.1409738,0.64940095,1
1.037121,0.42684785,4
1.9711113,2.3068287,1
1.1701404,0.6645812,4
1.970977,2.1286323,1
1.6090595,1.5650849,1
1.7145613,1.6332097,1
1.5377662,1.4717681,1
1.9248753,2.1111279,4
1.9983807,2.2145898,3
1.0511142,0.46472052,1
1.204924,0.7990012,1
1.3557734,1.0453228,1
1.3367696,1.1309096,1
1.7074691,1.7983398,1
1.4536841,1.3575174,3
1.6732411,1.7583154,1
1.7931815,1.7912791,1
0.99468124,0.42477503,1
1.2576395,1.094218,1
1.8505569,1.9118402,4
1.3578244,1.0172938,3
1.1815621,0.8062556,1
1.7548465,1.8571115,1
0.8045949,0.0746654,1
1.1652962,0.7289877,1
1.3368785,1.1118687,1
1.659589,1.5372062,1
1.7575672,1.7604921,1
1.3823653,1.1961278,1
1.9246676,2.1092923,1
1.5738926,1.4273257,2
1.7907552,1.8873844,3
2.2229576,2.5995405,3
1.868822,1.9508169,4
1.7017326,1.703948,3
2.4187393,2.9729552,1
2.0596905,2.4296036,1
1.2105179,0.8483374,1
1.5935032,1.4767352,1
1.3908702,1.207284,2
1.30485,1.0071138,1
1.6189412,1.5379078,1
1.2586102,0.9448205,2
2.117747,2.4877965,1
1.7338986,1.624047,1
1.375764,1.0631129,3
1.2283216,0.8563489,1
1.8518057,1.9642155,1
2.171971,2.476156,1
1.3785126,1.0504053,1
1.6634078,1.5576143,1
1.4907166,1.3510275,1
1.5526328,1.4660602,1
2.33726,2.9319525,1
1.1744975,0.77886784,4
1.9132142,2.1701727,1
0.963761,0.20981899,1
1.4863542,1.3122948,1
1.9199448,2.034604,1
0.9925008,0.4058415,1
1.0533515,0.49578312,1
1.8047805,1.8404104,1
1.941498,2.1912682,1
1.7955339,1.9069408,2
1.3424224,1.0609444,1
1.3840854,1.0156002,1
1.2836229,0.8471527,2
1.3126845,0.8649496,1
1.4232719,1.0173323,1
2.0685296,2.3856099,4
1.9838817,2.1896422,1
2.3081105,2.7352905,4
2.3210561,2.8080223,1
2.050563,2.2817729,2
1.9614263,2.192355,1
1.7718513,1.835371,3
2.4279127,2.9362779,1
1.6580037,1.6282063,3
2.242628,2.6224265,1
2.3239968,2.6311467,1
1.7196051,1.8393592,2
1.8048737,1.7894886,2
